original_air_date,views,imdb_rating,imdb_votes
2000-02-06,41259,6.6,822
2000-05-21,74046,7.9,955
2000-12-10,49325,7.3,766
2000-02-20,50427,7.3,777
2000-04-09,48786,7.4,724
1996-03-31,70913,8.6,1110
2001-03-11,45718,6.5,691
2001-05-06,49321,7.3,721
2001-05-20,56698,7,688
2002-04-28,69650,7.7,704
2002-05-05,47193,6.9,598
2003-11-16,37456,7,631
2001-11-11,47251,7.1,674
2002-04-07,54539,7.7,765
2002-11-24,55369,7.1,704
2002-02-17,45176,7.1,621
2003-03-09,44837,6.9,577
2001-12-02,37376,7.2,651
2002-11-10,35578,7.3,713
2001-12-16,45824,7.1,692
2002-12-01,42907,6.8,633
2002-03-17,50301,7.3,630
2003-02-02,51877,6.9,644
2002-01-06,45684,6.9,649
2002-01-27,49429,7.3,642
2002-05-12,46466,7.2,613
2003-05-04,43223,6.8,574
2003-01-05,40867,7.1,593
2003-02-16,47276,6.6,650
2003-04-27,49000,7,651
2003-05-18,50464,6.6,575
2003-11-02,68381,7.4,738
1997-02-02,60763,8.6,1137
2003-12-07,37890,6.6,576
2004-01-04,50276,6.7,589
2004-01-25,45062,7.3,596
2004-11-14,41064,7,566
2004-05-16,56275,6.2,593
2005-05-08,44500,6.8,554
2005-11-20,40306,6.9,543
2004-02-15,46792,7.3,583
2004-03-14,43747,6.9,568
2005-02-06,43356,6.4,582
2005-09-18,35717,6.9,585
2004-03-28,44539,6.9,599
2005-09-25,35779,7,558
2005-11-06,74401,7.3,646
2006-01-08,39552,6.7,554
2004-12-05,38908,6.6,562
2004-04-18,42440,6.7,560
2005-04-17,53146,7.3,615
2005-12-11,45513,7,706
2004-05-02,46273,7.3,600
2006-01-29,43599,7,535
2005-03-06,46309,6.9,572
2005-05-15,44606,7.1,546
2004-11-07,72271,7.4,666
2005-01-16,43118,7.3,554
2005-02-13,42759,6.8,607
1998-03-01,21214,7.6,887
2006-04-30,45267,7.2,582
2006-05-14,48419,7.1,596
2007-04-29,44770,6.3,585
2007-11-04,69957,7.1,687
2007-03-11,41751,6.3,606
2008-04-13,39238,6.1,585
2006-05-21,42778,6.6,587
2007-01-07,41312,6.6,615
2008-10-19,45781,7,638
2006-11-05,68799,7.1,723
2008-01-27,43485,6.3,1069
2008-12-07,38247,6.6,615
2006-11-19,37177,6.8,605
2006-12-10,41161,7.2,578
2007-11-18,44445,7.1,762
2008-05-18,44616,6.4,538
2007-05-20,45281,7.3,692
2008-11-09,40078,6.6,615
2007-02-18,45036,7.3,617
2007-01-28,67621,7,580
2007-04-22,47107,7.3,678
2007-05-13,42892,7,569
2008-03-09,41658,7.3,626
2008-02-17,40507,6.6,636
2008-11-30,40353,7.1,728
2008-09-28,45735,7.2,780
2008-05-04,41440,7,585
1998-09-27,43240,7.5,899
2009-02-15,40679,7,591
2009-03-08,41165,7,582
2010-09-26,31638,6.3,691
2009-05-03,45032,7.1,613
2010-05-16,43446,7.2,545
2009-04-19,45179,7.2,605
2010-01-10,40194,6.7,552
2009-10-04,38196,6.6,585
2009-04-05,40864,7.2,604
2010-04-18,41528,6.9,482
2009-10-11,39134,6.3,562
2010-05-02,45738,7.2,519
2011-03-06,42142,6.7,489
2011-02-13,42028,6.9,461
2010-02-21,41059,6.6,496
2010-11-21,38097,6.5,479
2009-12-13,38097,7.2,542
2010-02-14,44945,6.8,525
2011-03-27,41202,6.5,470
2009-11-15,42893,6.7,560
2011-05-08,46154,7.2,483
2010-03-21,40487,7,554
2010-11-28,37568,6.4,489
2011-05-01,41638,6.6,486
2011-01-09,41253,6.3,464
2010-10-10,39073,6.8,501
2011-01-16,42734,6.9,520
1999-02-14,46822,7.3,815
2011-10-02,37642,7,528
2011-11-06,38034,6.7,491
2012-01-15,43275,7,553
2014-01-12,40646,7.1,475
2012-05-13,47005,6.7,408
2012-11-11,35136,6.7,415
2013-01-06,42306,6.9,411
2013-11-03,39301,6.5,482
2013-12-08,43717,7,440
2012-04-29,53058,7.4,568
2011-11-20,42780,7.8,712
2012-02-12,40669,6.5,490
2014-01-05,45354,7.6,648
2012-03-04,45133,6.9,425
2013-03-10,42925,7,418
2012-03-18,43615,7.1,493
2013-10-06,64758,7.1,654
2013-04-28,41184,6.5,405
2013-01-27,42215,6.6,405
2012-09-30,36570,6.4,597
2012-11-25,43211,6.5,430
2012-10-07,67484,7.3,600
2012-12-09,40649,7.2,493
2013-02-17,42807,7,406
2013-05-12,42426,6.3,410
2013-11-17,40671,7.1,442
2013-05-19,44984,7,396
1999-02-21,52778,7.3,831
2014-03-16,44271,6.6,407
2014-04-27,48760,5.8,445
2014-11-23,38432,6.5,431
2015-02-08,36221,6.3,377
2015-10-25,195,6.8,385
2016-01-03,166,6.6,356
2014-05-11,51132,6.7,402
2015-09-27,187,5.9,532
2015-05-03,40783,6.2,330
2015-03-15,37874,6.7,374
2015-11-22,145,6.3,328
2015-01-11,39702,7.3,434
2016-02-14,158,6.3,252
2015-04-26,42123,6.9,347
2015-03-08,43023,6.9,377
2014-09-28,29526,5.8,652
2014-10-12,42912,6.5,457
2016-01-17,170,6.7,271
2014-12-07,37064,6.8,432
2014-10-19,65425,7.3,612
2015-02-15,35846,6.7,360
2016-04-03,190,6.5,246
2015-05-17,47429,6.9,335
2016-03-06,174,6.3,233
2015-12-06,170,7.1,305
2015-10-11,160,7.2,404
1991-04-11,58561,8,1257
1991-11-21,58968,8.8,1618
1990-02-04,63129,8.1,1732
1992-08-27,50936,8.2,1227
1992-10-08,64605,9,1747
1993-10-07,65585,9,2010
1993-11-11,74139,7.7,1085
1994-02-24,75439,8.8,1505
1994-04-28,66406,8.4,1118
1994-05-05,74427,8.2,1103
1994-10-30,119295,9,1690
